movieID|title|year|original_language|runtime|overview|poster_URL|box_office|budget|tmdb_popularity|imdb_rating|imdb_rating_votes
17|Sense and Sensibility|1995|en|136|The Dashwood sisters; sensible Elinor and passionate Marianne; whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly; his estate must pass on by law to his son from his first marriage; John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife; and daughters Elinor; Marianne and Margaret; without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status; they must learn to mix sense with sensibility in their dealings with both money and men.|https://image.tmdb.org/t/p/w1280/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg|134582776|16000000|22|7|123880
18|Four Rooms|1995|en|98|It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.|https://image.tmdb.org/t/p/w1280/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg|4257354|4000000|15|6|110100
19|Ace Ventura: When Nature Calls|1995|en|90|Summoned from an ashram in Tibet; Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka; the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails; the result will be a vicious tribal war.|https://image.tmdb.org/t/p/w1280/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg|212385533|30000000|26|6|230828
20|Money Train|1995|en|110|When a vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother—a fellow cop—tries to protect him.|https://image.tmdb.org/t/p/w1280/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg|77224232|68000000|17|5|42831
21|Get Shorty|1995|en|105|Chili Palmer is a Miami mobster who gets sent by his boss; the psychopathic "Bones" Barboni; to collect a bad debt from Harry Zimm; a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady; the romantic sparks fly. After pitching his own life story as a movie idea; Chili learns that being a mobster and being a Hollywood producer really aren't all that different.|https://image.tmdb.org/t/p/w1280/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg|115101622|30250000|12|6|88110
22|Copycat|1995|en|123|An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.|https://image.tmdb.org/t/p/w1280/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg|32000000|20000000|15|6|64853
23|Assassins|1995|en|133|Assassin Robert Rath arrives at a funeral to kill a prominent mobster; only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders; Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.|https://image.tmdb.org/t/p/w1280/kgqS4jn60E8UIExfceMUExB3ZKK.jpg|30303072|50000000|16|6|87507
24|Powder|1995|en|111|Harassed by classmates who won't accept his shocking appearance; a shy young man known as "Powder" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.|https://image.tmdb.org/t/p/w1280/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg|30862156|9500000|32|6|32278
25|Leaving Las Vegas|1995|en|111|Ben Sanderson; an alcoholic Hollywood screenwriter who lost everything because of his drinking; arrives in Las Vegas to drink himself to death. There; he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.|https://image.tmdb.org/t/p/w1280/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg|49800000|3600000|22|7|132818
26|Othello|1995|en|123|The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.|https://image.tmdb.org/t/p/w1280/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg|0|0|10|6|10086
27|Now and Then|1995|en|102|Waxing nostalgic about the bittersweet passage from childhood to puberty; four childhood girlfriends — Teeny; Chrissy; Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane; they reconcile experiences with boys; secrets; bullies and more.|https://image.tmdb.org/t/p/w1280/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg|27400000|12000000|15|6|32089
28|Persuasion|1995|en|103|Anne Elliot; the daughter of a financially troubled aristocratic family; is persuaded to break her engagement to Frederick Wentworth; a young sea captain of meager means. Years later; money troubles force Anne's father to rent out the family estate to Admiral Croft; and Anne is again thrown into company with Frederick -- who is now rich; successful; and perhaps still in love with Anne.|https://image.tmdb.org/t/p/w1280/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg|0|0|14|7|11378
29|City of Lost Children; The (Cité des enfants perdus; La)|1995|fr|112|A scientist in a surrealist society kidnaps children to steal their dreams; hoping that they slow his aging process.|https://image.tmdb.org/t/p/w1280/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg|1738611|18000000|15|7|71179
30|Shanghai Triad (Yao a yao yao dao waipo qiao)|1995|zh|108|Shanghai; China; 1930. When young Shuisheng arrives from the countryside; his uncle Liushu puts him at the service of Bijou; the mistress of Laoda; supreme boss of the Tang Triad; constantly threatened by his enemies; both those he knows and those lurking in the shadows.|https://image.tmdb.org/t/p/w1280/tzG1UxUSfPACREjgBrsPDRUvneH.jpg|0|2300000|10|7|5967
31|Dangerous Minds|1995|en|99|Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day; she decides she must throw decorum to the wind. When Johnson returns to the classroom; she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.|https://image.tmdb.org/t/p/w1280/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg|179519401|23000000|17|6|56429
32|Twelve Monkeys (a.k.a. 12 Monkeys)|1995|en|129|In the year 2035; convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996; he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly; and patient Jeffrey Goines; the son of a famous virus expert; who may hold the key to the mysterious rogue group; the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.|https://image.tmdb.org/t/p/w1280/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg|168841459|29000000|33|8|641343
34|Babe|1995|en|91|Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends; like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum; Babe realises that he has the makings to become the greatest sheep pig of all time; and Farmer Hogget knows it. With the help of the sheep dogs; Babe learns that a pig can be anything that he wants to be.|https://image.tmdb.org/t/p/w1280/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg|254134910|30000000|25|6|132739
36|Dead Man Walking|1995|en|122|A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.|https://image.tmdb.org/t/p/w1280/njn4FAjosndf9Y13zgflCK0DI9o.jpg|39363635|11000000|22|7|100694
38|It Takes Two|1995|en|101|Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad; Roger; and the kind social worker who cares for Amanda.|https://image.tmdb.org/t/p/w1280/sdes5TrRbymELYLG85YIxmFb1OP.jpg|19474589|0|17|5|24528
39|Clueless|1995|en|97|Shallow; rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker; Cher first coaxes two teachers into dating each other. Emboldened by her success; she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is; Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.|https://image.tmdb.org/t/p/w1280/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg|56631572|12000000|34|6|240849
40|Cry; the Beloved Country|1995|en|106|A South-African preacher goes to search for his wayward son who has committed a crime in the big city.|https://image.tmdb.org/t/p/w1280/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg|676525|0|2|6|2012
41|Richard III|1995|en|110|A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s; England is torn by civil war; split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship; but must first remove the obstacles to his ascension—among them his brother; his nephews and his brother's wife. When the Duke of Buckingham deserts him; Richard's plans are compromised.|https://image.tmdb.org/t/p/w1280/cJYgc7UYfQE4EaKzR6Qwy3PF478.jpg|2748518|0|8|7|15433
42|Dead Presidents|1995|en|119|On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!|https://image.tmdb.org/t/p/w1280/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg|24147179|10000000|17|6|24169
43|Restoration|1995|en|117|An aspiring young physician; Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually; the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend; he rediscovers his love for true medicine and what it really means to be a physician.|https://image.tmdb.org/t/p/w1280/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg|0|19000000|10|6|9839
44|Mortal Kombat|1995|en|101|For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament; desolation and evil will reign over the multiverse forever. To save Earth; three warriors must overcome seemingly insurmountable odds; their own inner demons; and superhuman foes in this actionhttps://image.tmdb.org/t/p/w1280/adventure movie based on one of the most popular video games of all time.|https://image.tmdb.org/t/p/w1280/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg|122195920|18000000|41|5|123672
45|To Die For|1995|en|106|Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence; she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus; she is forced to destroy anything and anyone that may stand in her way; regardless of the ultimate cost or means necessary.|https://image.tmdb.org/t/p/w1280/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg|21284514|20000000|14|6|51937
46|How to Make an American Quilt|1995|en|117|Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head; Finn visits her grandmother; Hy; and great aunt; Glady Joe Cleary; in Grasse; Calif. There; Finn learns that Hy and Glady Joe are members of a group of passionate quilters; and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.|https://image.tmdb.org/t/p/w1280/vwYRaERccwXWCYrTzeWRZRarJOo.jpg|41200020|10000000|15|6|12406
47|Seven (a.k.a. Se7en)|1995|en|127|Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the "seven deadly sins" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind; while his novice partner; Mills; scoffs at his efforts to unravel the case.|https://image.tmdb.org/t/p/w1280/6yoghtyTpznpBik8EngEmJskVUO.jpg|327311859|33000000|53|8|1768771
48|Pocahontas|1995|en|81|Pocahontas; daughter of a Native American tribe chief; falls in love with an English soldier as colonists invade 17th century Virginia.|https://image.tmdb.org/t/p/w1280/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg|346079773|55000000|37|6|200562
49|When Night Is Falling|1995|en|94|A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited; liberal woman who works at a local carnival.|https://image.tmdb.org/t/p/w1280/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg|0|0|11|6|7371
50|Usual Suspects; The|1995|en|106|Held in an L.A. interrogation room; Verbal Kint attempts to convince the feds that a mythic crime lord; Keyser Soze; not only exists; but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.|https://image.tmdb.org/t/p/w1280/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg|23341568|6000000|30|8|1133507
52|Mighty Aphrodite|1995|en|95|When Lenny and his wife; Amanda; adopt a baby; Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash; a kindhearted prostitute and porn star; Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.|https://image.tmdb.org/t/p/w1280/ice135yQZp4iX2SgCmd90nKgS5j.jpg|6700000|15000000|14|7|42400
53|Lamerica|1994|it|116|Fiore; an Italian conman; arrives in post Communist Albania with Gino; his young apprentice; to set up a shoe factory that will never open. The con requires a native Albanian; so they designate Spiro; an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project; Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.|https://image.tmdb.org/t/p/w1280/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg|0|0|4|7|2365
54|Big Green; The|1995|en|100|In a depressed Texas town; British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first; but Anna and her football-hero assistant whip them into shape. As they work overtime; the pair help kids build their self-esteem and also get involved in solving family squabbles.|https://image.tmdb.org/t/p/w1280/nVHqIuBTcTLmAIrML7T704UwfNI.jpg|0|0|9|5|10847
55|Georgia|1995|en|115|Sadie looks up to her older sister Georgia; a successful folk singer who's happily married with children; but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze; and also to her own unwise choice in men. Finally; though; Sadie's Achilles heel is a rough; unlovely voice very different than her sister's crowd-pleasing singing.|https://image.tmdb.org/t/p/w1280/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg|0|0|3|6|3306
57|Home for the Holidays|1995|en|103|After losing her job; making out with her soon-to-be former boss; and finding out that her daughter plans to spend Thanksgiving with her boyfriend; Claudia Larson faces spending the holiday with her unhinged family.|https://image.tmdb.org/t/p/w1280/a8MslR6deQQVe8JR542XDSwHiPB.jpg|17519169|0|11|6|14465
58|Postman; The (Postino; Il)|1994|it|108|Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.|https://image.tmdb.org/t/p/w1280/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg|0|0|11|7|38653
60|Indian in the Cupboard; The|1995|en|96|A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.|https://image.tmdb.org/t/p/w1280/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg|0|45000000|15|6|30753
61|Eye for an Eye|1996|en|101|It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob; the monster who raped and murdered her 17-year-old daughter.|https://image.tmdb.org/t/p/w1280/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg|26877589|20000000|15|6|18694
62|Mr. Holland's Opus|1995|en|143|In 1965; passionate musician Glenn Holland takes a day job as a high school music teacher; convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching; Holland must redefine his life's purpose.|https://image.tmdb.org/t/p/w1280/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg|106269971|31000000|15|7|41381
63|Don't Be a Menace to South Central While Drinking Your Juice in the Hood|1996|en|89|When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer); he falls in with his gang-banging cousin Loc Dog; who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?|https://image.tmdb.org/t/p/w1280/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg|20109115|3800000|44|6|60641
64|Two if by Sea|1996|en|96|Frank O'Brien; a petty thief; and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job; which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England; where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.|https://image.tmdb.org/t/p/w1280/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg|10658278|0|5|5|6284
65|Bio-Dome|1996|en|88|Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment; but the two friends couldn't care less about saving the Earth. One day; when a group of scientists begin a mission to live inside a "Bio-Dome" for a year without outside contact; Bud and Doyle mistakenly become part of the project themselves.|https://image.tmdb.org/t/p/w1280/pkL8rqpO0EryTV1DLJJdrhOZ7sL.jpg|13400000|8500000|10|4|29290
66|Lawnmower Man 2: Beyond Cyberspace|1996|en|93|Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network; which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.|https://image.tmdb.org/t/p/w1280/nsKDpcdC62krEPlCKKjLSHuMwwu.jpg|2409225|15000000|11|2|10198
68|French Twist (Gazon maudit)|1995|fr|104|After learning of her husband's infidelities; a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.|https://image.tmdb.org/t/p/w1280/xlLnHizshGBwMiNrnop2kg2nYzE.jpg|0|0|14|6|5315
69|Friday|1995|en|91|Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon; smoking and drinking; looking for something to do.|https://image.tmdb.org/t/p/w1280/eqD0jCDIEJ65CmyG63Jaay6bHDp.jpg|28215918|3500000|26|7|122909
70|From Dusk Till Dawn|1996|en|108|Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning; when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point; which turns out to be a Hell of a strip joint.|https://image.tmdb.org/t/p/w1280/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg|25836616|19000000|29|7|335905
71|Fair Game|1995|en|91|Max Kirkpatrick is a cop who protects Kate McQuean; a civil law attorney; from a renegade KGB team out to terminate her|https://image.tmdb.org/t/p/w1280/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg|11534477|50000000|15|4|13698
72|Kicking and Screaming|1995|en|96|After college graduation; Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her; deciding instead to move in with several friends; all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life; yet none of them wants to end up like Chet; the professional student who tends bar and is in his tenth year of university studies.|https://image.tmdb.org/t/p/w1280/ynAtSpTou7snNOq32djzILw9VCA.jpg|718490|0|9|6|14919
73|Misérables; Les|1995|fr|175|In France during World War II; a poor and illiterate man; Henri Fortin (Jean-Paul Belmondo); is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.|https://image.tmdb.org/t/p/w1280/czlMyja9zSMnAuXQXTMxJ5Dw7Yc.jpg|0|0|8|7|3973
74|Bed of Roses|1996|en|87|The seeds of love are planted when Lisa; a high-powered investment banker; receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways; they soon find out that sometimes; it's harder than it seems for love to conquer all.|https://image.tmdb.org/t/p/w1280/e0Eho8TETw1RhvX9MH9i19Xf1iM.jpg|19030691|0|7|6|8703
75|Big Bully|1996|en|90|A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined; only the bully wants to relive their painful past by torturing him once again.|https://image.tmdb.org/t/p/w1280/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg|2042530|15000000|10|4|5510
76|Screamers|1995|en|108|SIRIUS 6B; Year 2078. On a distant mining planet ravaged by a decade of war; scientists have created the perfect weapon: a blade-wielding; self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.|https://image.tmdb.org/t/p/w1280/eqgBf791rMZG7ywHfObpXeMpiRf.jpg|5781885|20000000|11|6|29126
77|Nico Icon|1995|en|70|A look into the many lives of Christa Päffgen; otherwise known as Nico; from cutie German mädchen to the first of the supermodels; to glamorous diva of the Velvet Underground; to cult item; junkie and hag. Many faces for the same woman; whom; you realize; just couldn't bring herself to care enough to live.|https://image.tmdb.org/t/p/w1280/4qO219U8z1XeHLni800jCsbpSs0.jpg|0|0|0|7|745
78|Crossing Guard; The|1995|en|111|After his daughter died in a hit and run; Freddy Gale has waited six years for John Booth; the man responsible; to be released from prison. On the day of release; Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage; and even finds romance. Gale; whose life is spiraling down because of his obsession towards Booth; will bring himself on the very edge of sanity. At he end of the week; both men will find themselves on a collision course with each other.|https://image.tmdb.org/t/p/w1280/kogaCIIylHmWQo2gJrrdq8Br8b8.jpg|0|0|11|6|14276
79|Juror; The|1996|en|118|With his gangster boss on trial for murder; a mob thug known as "the Teacher" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict; implying that he'll kill her son Oliver if she fails. She manages to do this; but; when it becomes clear that the mobsters might want to silence her for good; she sends Oliver abroad and tries to gather evidence of the plot against her; setting up a final showdown.|https://image.tmdb.org/t/p/w1280/i1EXzLNc4c9Xd0xjCmGavb0Hz9k.jpg|22754725|44000000|13|5|19798
80|White Balloon; The (Badkonake sefid)|1995|fa|85|Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.|https://image.tmdb.org/t/p/w1280/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg|0|0|5|7|8153
81|Things to Do in Denver When You're Dead|1995|en|115|Five different criminals face imminent death after botching a job quite badly.|https://image.tmdb.org/t/p/w1280/oPp6Gbrasox66WyMvPS0k8OakQf.jpg|529766|8000000|19|6|29492
