crewID,Name,birth_year,end_year
nm0001628,Sydney Pollack,1934,2008
nm0853138,Samuel A. Taylor,1912,2000
nm0000697,Billy Wilder,1906,2002
nm0499626,Ernest Lehman,1915,2005
nm0070660,Barbara Benedek,,
nm0548257,Laurence Mark,,
nm0001795,Jonathan Taylor Thomas,1981,
nm0000605,Brad Renfro,1982,2008
nm0734236,Charles Rocket,1949,2005
nm0777760,Eric Schweig,1967,
nm0382072,Peter Hewitt,1962,
nm0878494,Mark Twain,1835,1910
nm0814085,Stephen Sommers,1962,
nm0521739,David Loughery,,
nm0049689,John Baldecchi,,
nm0002201,John Debney,1956,
nm0000241,Jean-Claude Van Damme,1960,
nm0000959,Powers Boothe,1948,2017
nm0000855,Raymond J. Barry,1939,
nm0942925,Whittni Wright,1987,
nm0001382,Peter Hyams,1943,
nm0049945,Karen Elise Baldwin,1964,
nm0704164,Gene Quintano,1946,
nm0049920,Howard Baldwin,,
nm0224537,Moshe Diamant,1946,
nm0110483,Barbara Broccoli,1960,
nm0000112,Pierce Brosnan,1953,
nm0000293,Sean Bean,1959,
nm0001713,Izabella Scorupco,1970,
nm0000463,Famke Janssen,1964,
nm0132709,Martin Campbell,1943,
nm0001220,Ian Fleming,1908,1964
nm0289833,Michael France,1962,2013
nm0128997,Jeffrey Caine,1944,
nm0270761,Bruce Feirstein,1956,
nm0453344,Lilly Kilvert,1950,
nm0000140,Michael Douglas,1944,
nm0000906,Annette Bening,1958,
nm0000640,Martin Sheen,1940,
nm0000150,Michael J. Fox,1961,
nm0001661,Rob Reiner,1947,
nm0815070,Aaron Sorkin,1961,
nm0003299,Marc Shaiman,1959,
nm0005868,John Seale,1942,
nm0500371,Robert Leighton,,
nm0918891,Adam Weiss,,
nm0000558,Leslie Nielsen,1926,2010
nm0000316,Mel Brooks,1926,
nm0001493,Peter MacNicol,1954,
nm0001836,Steven Weber,1961,
nm0209918,Rudy De Luca,,
nm0352229,Steve Haberman,,
nm0831290,Bram Stoker,1847,1912
nm0006186,Hummie Mann,,
nm0642672,Michael D. O'Shea,,
nm9054338,Steve Hickner,,
nm0000102,Kevin Bacon,1958,
nm0001364,Bob Hoskins,1942,2014
nm0000403,Bridget Fonda,1964,
nm0191906,Jim Cummings,1952,
nm0920425,Simon Wells,1961,
nm0748429,Cliff Ruby,,
nm0504327,Elana Lesser,,
nm0169325,David Steven Cohen,,
nm0776107,Roger S.H. Schulman,,
nm0002354,John Williams,1932,
nm0000164,Anthony Hopkins,1937,
nm0000260,Joan Allen,1956,
nm0000438,Ed Harris,1950,
nm0000231,Oliver Stone,1946,
nm0729151,Stephen J. Rivele,1949,
nm0929349,Christopher Wilkinson,1950,
nm0870106,Clayton Townsend,,
nm0883351,Andrew G. Vajna,1944,2019
nm0455207,Robert King,,
nm0000133,Geena Davis,1956,
nm0000546,Matthew Modine,1959,
nm0001449,Frank Langella,1938,
nm0001999,Maury Chaykin,1949,2010
nm0001317,Renny Harlin,1959,
nm0065847,Michael Frost Beckner,1963,
nm0331079,James Gorman,1961,
nm0262595,Bruce A. Evans,1946,
nm0317279,Raynold Gideon,,
nm0274721,Dante Ferretti,1943,
nm0000232,Sharon Stone,1958,
nm0000582,Joe Pesci,1943,
nm0000249,James Woods,1947,
nm0000217,Martin Scorsese,1942,
nm0683380,Nicholas Pileggi,1933,
nm0208381,Barbara De Fina,,
nm0724744,Robert Richardson,1955,
nm0774817,Thelma Schoonmaker,1940,
nm0820163,Tim Squyres,1959,
nm0000668,Emma Thompson,1959,
nm0000701,Kate Winslet,1975,
nm0281424,James Fleet,1952,
nm0929489,Tom Wilkinson,1948,2023
nm0000487,Ang Lee,1954,
nm0000807,Jane Austen,1775,1817
nm0233386,Lindsay Doran,1948,
nm0236462,Patrick Doyle,1953,
nm0183533,Michael Coulter,1952,
nm0004744,Lawrence Bender,1957,
nm0000619,Tim Roth,1961,
nm0000104,Antonio Banderas,1960,
nm0205423,Sammi Davis,1964,
nm0004866,Amanda De Cadenet,1972,
nm0025978,Allison Anders,1954,
nm0734319,Alexandre Rockwell,1956,
nm0001675,Robert Rodriguez,1968,
nm0000233,Quentin Tarantino,1963,
nm0005062,Chuck Jones,1912,2002
nm0132695,Malcolm Campbell,,
nm0000120,Jim Carrey,1962,
nm0573862,Ian McNeice,1950,
nm0001003,Simon Callow,1949,
nm0264330,Maynard Eziashi,1965,
nm0644203,Steve Oedekerk,1961,
nm0077062,Jack Bernstein,,
nm0732708,James G. Robinson,1935,
nm0006077,Robert Folk,,
nm0004241,Donald E. Thorin,1934,2016
nm0005307,Jon Peters,1945,
nm0000648,Wesley Snipes,1962,
nm0000437,Woody Harrelson,1961,
nm0000182,Jennifer Lopez,1969,
nm0086706,Robert Blake,1933,2023
nm0747849,Joseph Ruben,1950,
nm0724514,Doug Richardson,,
nm0134635,Neil Canton,1948,
nm0287080,Christine Peters,1969,
nm0527099,John Lurie,1952,
nm0000432,Gene Hackman,1930,
nm0000623,Rene Russo,1954,
nm0000362,Danny DeVito,1944,
nm0000237,John Travolta,1954,
nm0001756,Barry Sonnenfeld,1953,
nm0001465,Elmore Leonard,1925,2013
nm0291082,Scott Frank,1960,
nm0787834,Michael Shamberg,1945,
nm0792049,Stacey Sher,1962,
nm0002366,Christopher Young,,
nm0000244,Sigourney Weaver,1949,
nm0000456,Holly Hunter,1958,
nm0000551,Dermot Mulroney,1963,
nm0001530,William McNamara,,
nm0000750,Jon Amiel,1948,
nm0081189,Ann Biderman,1951,
nm0535189,David Madsen,,
nm0586969,Arnon Milchan,1944,
nm0850516,Mark Tarlov,1952,2021
nm0000230,Sylvester Stallone,1946,
nm0000194,Julianne Moore,1960,
nm0205863,Anatoli Davydov,,
nm0001149,Richard Donner,1930,2021
nm0905152,Lilly Wachowski,1967,
nm0905154,Lana Wachowski,1965,
nm0001338,Brian Helgeland,,
nm0384190,Dennis M. Hill,,
nm0005460,Mary Steenburgen,1953,
nm0001218,Sean Patrick Flanery,1965,
nm0000448,Lance Henriksen,1940,
nm0000156,Jeff Goldblum,1952,
nm0759207,Victor Salva,1958,
nm0083696,Roger Birnbaum,,
nm0342841,Daniel Grodnik,,
nm0000025,Jerry Goldsmith,1929,2004
nm0956195,Jerzy Zielinski,1950,
nm0808780,John Smith,,
nm0000115,Nicolas Cage,1964,
nm0000223,Elisabeth Shue,1963,
nm0001696,Julian Sands,1958,2023
nm0507659,Richard Lewis,1947,
nm0001214,Mike Figgis,1948,
nm3840714,John O'Brien,1960,1994
nm0147416,Lila Cazès,,2017
nm0829176,Annie Stewart,,
nm0002336,Declan Quinn,1957,
nm0424900,David Johnson,1954,
nm0000401,Laurence Fishburne,1961,
nm0000110,Kenneth Branagh,1960,
nm0001393,Irène Jacob,1966,
nm0662511,Nathaniel Parker,1962,
nm0662529,Oliver Parker,1960,
nm0000636,William Shakespeare,1564,1616
nm0057655,David Barron,1954,
nm0736312,Luc Roeg,1962,
nm0596495,Charlie Mole,,
nm0131311,Jacqueline Cambas,,
nm0000207,Christina Ricci,1980,
nm0000193,Demi Moore,1962,
nm0005280,Rosie O'Donnell,1962,
nm0000301,Thora Birch,1982,
nm0322128,Lesli Linka Glatter,1953,
nm0454783,I. Marlene King,1962,
nm0865297,Suzanne Todd,1965,
nm0006056,Cliff Eidelman,1964,
nm0825336,Ueli Steiger,1954,
nm0198459,John Daly,1955,
nm0740500,Amanda Root,1963,
nm0001354,Ciarán Hinds,1953,
nm0281453,Susan Fleetwood,1944,1995
nm0714874,Corin Redgrave,1939,2010
nm0585011,Roger Michell,1956,2021
nm0213116,Nick Dear,1955,
nm0277974,Fiona Finlay,,
nm0760255,Jeremy Sams,1957,
nm0372910,María Victoria Hebrero,,
nm0000579,Ron Perlman,1950,
nm0256399,Daniel Emilfork,1924,2006
nm0900136,Judith Vittet,1984,
nm0684500,Dominique Pinon,1955,
nm0001988,Marc Caro,1956,
nm0000466,Jean-Pierre Jeunet,1953,
nm0012496,Gilles Adrien,,
nm0491011,Guillaume Laurant,1961,
nm1069032,Félicie Dutertre,,
nm0943195,Yigong Wu,1938,2019
nm0000084,Gong Li,1965,
nm0508349,Baotian Li,1946,
nm0944507,Xiaoxiao Wang,,
nm0508554,Xuejian Li,1954,
nm0955443,Yimou Zhang,1951,
nm0270819,Feiyu Bi,,
nm0944481,Li Xiao,,
nm0549366,Yves Marmion,,
nm0682177,Jean-Louis Piel,,2018
nm0171123,Lisa Coleman,1960,
nm0000201,Michelle Pfeiffer,1958,
nm0001169,George Dzundza,1945,
nm0005524,Courtney B. Vance,1960,
nm0000862,Robin Bartlett,1951,
nm0808807,John N. Smith,1943,
nm0425676,LouAnne Johnson,,
nm0000988,Jerry Bruckheimer,1943,
nm0800971,Don Simpson,1943,1996
nm0118729,Paul Buckmaster,1946,2017
nm0000246,Bruce Willis,1955,
nm0000656,Madeleine Stowe,1958,
nm0000093,Brad Pitt,1963,
nm0577828,Joseph Melito,,
nm0000416,Terry Gilliam,1940,
nm0003408,Chris Marker,1921,2012
nm0672459,David Webb Peoples,1940,
nm0672466,Janet Peoples,,
nm0746273,Charles Roven,1949,
nm0922806,Nigel Westlake,1958,
nm0000342,James Cromwell,1940,
nm0844294,Magda Szubanski,1961,
nm0004815,Christine Cavanaugh,1963,2014
nm0546816,Miriam Margolyes,1941,
nm0003088,Chris Noonan,1952,
nm0455404,Dick King-Smith,1922,2011
nm0004306,George Miller,1945,
nm0587964,Bill Miller,,
nm0593294,Doug Mitchell,,
nm0005683,Roger Deakins,1949,
nm0000215,Susan Sarandon,1946,
nm0000576,Sean Penn,1960,
nm0698764,Robert Prosky,1930,2008
nm0000209,Tim Robbins,1958,
nm0695878,Helen Prejean,1939,
nm0453091,Jon Kilik,1956,
nm0799886,Rudd Simmons,,
nm0730321,David Robbins,1955,
nm0958666,Kenneth Zunder,,
nm0000263,Kirstie Alley,1951,2022
nm0000430,Steve Guttenberg,1958,
nm0001581,Mary-Kate Olsen,1986,
nm0001580,Ashley Olsen,1986,
nm0855035,Andy Tennant,1955,
nm0204456,Deborah Dean Davis,,
nm0189979,Jim Cruickshank,,
nm0650561,James Orr,1953,
nm0285232,Sherman Foote,,
nm0157096,Debra Chiate,,
nm0000224,Alicia Silverstone,1976,
nm0001107,Stacey Dash,1967,
nm0005261,Brittany Murphy,1977,2009
nm0748620,Paul Rudd,1969,
nm0002132,Amy Heckerling,,
nm0492994,Robert Lawrence,,
nm0748784,Scott Rudin,1958,
nm0457598,David Kitay,1961,
nm0691084,Bill Pope,1952,
nm0000290,John Barry,1933,2011
nm0001321,Richard Harris,1930,2002
nm0000469,James Earl Jones,1931,
nm0475100,Vusi Kunene,,
nm0001165,Charles S. Dutton,1951,
nm0740213,Darrell Roodt,1962,
nm0367838,Ronald Harwood,1934,2020
nm0665704,Alan Paton,1903,1988
nm0802081,Anant Singh,,
nm0869935,Harry Alan Towers,1920,2009
nm0002303,Trevor Jones,1949,
nm0005212,Ian McKellen,1939,
nm0100815,Christopher Bowen,,
nm0223266,Edward Jewesbury,1917,2001
nm0518644,Richard Loncraine,1946,
nm0264236,Richard Eyre,1943,
nm0063127,Stephen Bayly,1942,
nm0664179,Lisa Katselas,1959,
nm0000384,Danny Elfman,1953,
nm0005478,Larenz Tate,1975,
nm0202966,Keith David,1956,
nm0000676,Chris Tucker,1971,
nm0135585,Freddy Rodríguez,,
nm0400436,Albert Hughes,1972,
nm0400441,Allen Hughes,1972,
nm0114285,Michael Henry Brown,,
nm1088323,Wallace Terry,1938,2003
nm1428229,The Hughes Brothers,,
nm0665466,Andy Paterson,1960,
nm0000375,Robert Downey Jr.,1965,
nm0000554,Sam Neill,1947,
nm0000667,David Thewlis,1963,
nm0908116,Polly Walker,1966,
nm0001355,Michael Hoffman,1956,
nm0871857,Rose Tremain,1943,
nm0910361,Rupert Walters,,
nm0085502,Sarah Black,,
nm0111225,Cary Brokaw,,
nm0003392,George S. Clinton,1947,
nm0000483,Christopher Lambert,1957,
nm0795225,Robin Shou,1960,
nm0000798,Linden Ashby,1960,
nm0846480,Cary-Hiroyuki Tagawa,1950,
nm0027271,Paul W.S. Anderson,1965,
nm0095460,Ed Boon,1964,
nm0864880,John Tobias,,
nm0238256,Kevin Droney,1948,
nm0440415,Lawrence Kasanoff,1959,
nm0004090,Eric Alan Edwards,1953,
nm0000173,Nicole Kidman,1967,
nm0000369,Matt Dillon,1964,
nm0001618,Joaquin Phoenix,1974,
nm0000729,Casey Affleck,1975,
nm0001814,Gus Van Sant,1952,
nm0562767,Joyce Maynard,1953,
nm0377750,Buck Henry,1930,2020
nm0957205,Laura Ziskin,1950,2011
nm0002353,Thomas Newman,1955,
nm0000213,Winona Ryder,1971,
nm0000995,Ellen Burstyn,1932,
nm0000843,Anne Bancroft,1931,2005
nm0185644,Kaelynn Craddick,,
nm0602104,Jocelyn Moorhouse,1960,
nm0653307,Whitney Otto,1955,
nm0026862,Jane Anderson,1954,
nm0683579,Sarah Pillsbury,,
nm0762590,Midge Sanford,,
nm0290358,Richard Francis-Bruce,1948,
nm0000151,Morgan Freeman,1937,
nm0000228,Kevin Spacey,1959,
nm0001825,Andrew Kevin Walker,1964,
nm0000399,David Fincher,1962,
nm0138287,Phyllis Carlyle,1942,2022
nm0465745,Arnold Kopelson,1935,2018
nm0006290,Howard Shore,1946,
nm0451787,Darius Khondji,1955,
nm0443855,Glen Keane,1954,
nm0000154,Mel Gibson,1956,
nm0001373,Linda Hunt,1945,
nm0000288,Christian Bale,1974,
nm0048589,Joe Baker,1928,2001
nm0300265,Mike Gabriel,1954,
nm0325196,Eric Goldberg,1955,
nm0082772,Carl Binder,,
nm0335666,Susannah Grant,1963,
nm0493857,Philip LaZebnik,1953,
nm0232364,John Dondertman,,
nm0124481,Pascale Bussières,1968,
nm0006692,Rachael Crawford,1969,
nm0001089,Henry Czerny,1959,
nm0288944,David Fox,1941,2021
nm0005390,Patricia Rozema,1958,
nm0871009,Barbara Tranter,,
nm0053427,Lesley Barber,1968,
nm0462288,Douglas Koch,,
nm0794156,Susan Shipton,1958,
nm0191896,Howard Cummings,,
nm0000321,Gabriel Byrne,1950,
nm0001590,Chazz Palminteri,1952,
nm0000286,Stephen Baldwin,1966,
nm0001741,Bryan Singer,1965,
nm0003160,Christopher McQuarrie,1968,
nm0568120,Michael McDonnell,,
nm0653211,John Ottman,1964,
nm0005875,Newton Thomas Sigel,1955,
nm0000095,Woody Allen,1935,
nm0000227,Mira Sorvino,1967,
nm0086322,Pamela Blair,1949,2023
nm0147503,Rene Ceballos,1953,
nm0339086,Robert Greenhut,1942,
nm0005688,Carlo Di Palma,1925,2004
nm0607673,Susan E. Morse,1952,
nm0520288,Santo Loquasto,1944,
nm0006228,Franco Piersanti,1950,
nm0516272,Enrico Lo Verso,1964,
nm0686375,Michele Placido,1946,
nm0587549,Piro Milkani,1939,
nm0224076,Carmelo Di Mazzarelli,1918,2010
nm0002167,Gianni Amelio,1945,
nm0691794,Andrea Porporati,1964,
nm0785258,Alessandro Sermoneta,,
nm0147601,Mario Cecchi Gori,1920,1993
nm0147603,Vittorio Cecchi Gori,1942,
nm0757136,Evelyn Sakash,,2020
nm0001882,Olivia d'Abo,1969,
nm0761587,Jay O. Sanders,1953,
nm0856012,John Terry,1950,
nm0805965,Holly Goldberg Sloan,1958,
nm0006055,Randy Edelman,1947,
nm0005659,Ralf D. Bode,1941,2001
nm0511219,John F. Link,,
nm0000492,Jennifer Jason Leigh,1962,
nm0001858,Mare Winningham,1959,
nm0505971,Ted Levine,1957,
nm0001611,Max Perlich,1968,
nm0343260,Ulu Grosbard,1929,2012
nm0193009,Barbara Turner,1936,2016
nm0452654,Jan Kiesser,,
nm0459703,Elizabeth Kling,,
nm0169555,Lester Cohen,,
nm0005759,Lajos Koltai,1946,
nm0001164,Charles Durning,1923,2012
nm0000149,Jodie Foster,1962,
nm0705331,Chris Radant,,
nm0725379,W.D. Richter,1945,
nm0707475,Peggy Rajski,1953,
nm0006142,Mark Isham,1951,
nm0873385,Massimo Troisi,1953,1994
nm0634159,Philippe Noiret,1930,2006
nm0002029,Maria Grazia Cucinotta,1968,
nm0769237,Renato Scarpa,1939,2021
nm0705535,Michael Radford,1946,
nm0805073,Antonio Skármeta,1940,
nm0769249,Furio Scarpelli,1919,2010
nm0769250,Giacomo Scarpelli,,
nm0667657,Anna Pavignano,,
nm0823661,Jane Startz,,
nm0769136,Hal Scardino,1984,
nm0514342,Litefoot,1968,
nm0001080,Lindsay Crouse,1948,
nm0420955,Richard Jenkins,1947,
nm0000568,Frank Oz,1944,
nm0052209,Lynne Reid Banks,1929,
nm0558953,Melissa Mathison,1950,2015
nm0005086,Kathleen Kennedy,1953,
nm0550881,Frank Marshall,1946,
nm0006133,James Newton Howard,1951,
nm0000398,Sally Field,1946,
nm0000662,Kiefer Sutherland,1966,
nm0122466,Olivia Burnette,1977,
nm0772259,John Schlesinger,1926,2003
nm0392788,Erika Holzer,1935,
nm0798646,Amanda Silver,1963,
nm0415425,Rick Jaffa,1956,
nm0506548,Michael I. Levy,,
nm0004383,Michael Kamen,1948,2003
nm0000377,Richard Dreyfuss,1947,
nm0000444,Glenne Headly,1955,2017
nm0858988,Jay Thomas,1948,2017
nm0001156,Olympia Dukakis,1931,2021
nm0378893,Stephen Herek,1958,
nm0242059,Patrick Sheane Duncan,1947,
nm0181202,Robert W. Cort,,
nm0276059,Ted Field,1953,
nm0634445,Michael Nolin,1948,
nm0367630,Marshall Harvey,,
nm0915465,Shawn Wayans,1971,
nm0005541,Marlon Wayans,1972,
nm0005540,Keenen Ivory Wayans,1958,
nm0429385,Tracey Cherelle Jones,1970,
nm0054077,Paris Barclay,,
nm0064556,Phil Beauman,,
nm0324970,Eric L. Gold,1956,
nm0055649,John Barnes,,
nm0104996,Russ Brandt,,
nm0597232,Paddy Moloney,1938,2021
nm0000113,Sandra Bullock,1964,
nm0001459,Denis Leary,1957,
nm0226820,Stephen Dillane,1957,
nm0001433,Yaphet Kotto,1939,2021
nm0071611,Bill Bennett,1953,
nm0035836,Mike Armstrong,,
nm0501181,Ann Leary,1962,
nm0322684,Nick Glennie-Smith,1951,
nm0545085,Scott Marcano,,
nm0001736,Pauly Shore,1968,
nm0040472,William Atherton,,
nm0236225,Denise Dowse,1958,2022
nm0089176,Jason Bloom,,
nm0498963,Adam Leff,,
nm0669692,Mitchell Peck,,
nm0089820,Jason Blumenthal,,
nm0462835,Kip Koenig,,
nm0751505,Ward Russell,,
nm0000920,Patrick Bergin,1951,
nm0001242,Matt Frewer,1958,
nm0639432,Austin O'Brien,1981,
nm0693531,Ely Pouget,1960,
nm0542752,Farhad Mann,,
nm0591160,Michael Miner,,
nm0289092,Keith Fox,,
nm0800692,Edward Simons,1945,
nm0581000,Claudine Merlin,1929,2014
nm0000721,Victoria Abril,1959,
nm0001929,Josiane Balasko,1950,
nm0149260,Alain Chabat,1958,
nm0390458,Ticky Holgado,1944,2004
nm0095579,Telsche Boorman,1959,1996
nm0041462,Patrick Aubrée,1938,2022
nm0001945,Claude Berri,1934,2009
nm0540652,Manuel Malou,,
nm0061434,Gérard de Battista,1946,
nm0068684,Bruce Bellamy,,
nm0001084,Ice Cube,1969,
nm0000505,Nia Long,1970,
nm0001474,Tom Lister Jr.,1958,2020
nm0336620,F. Gary Gray,1969,
nm0690770,DJ Pooh,,
nm0152788,Patricia Charbonnet,,
nm0006685,Gerry Lively,,
nm0141713,John Carter,1922,2018
nm0622897,Guillermo Navarro,1955,
nm0000172,Harvey Keitel,1939,
nm0000123,George Clooney,1961,
nm0000496,Juliette Lewis,1973,
nm0476071,Robert Kurtzman,1964,
nm0638089,Gianni Nunnari,,
nm0855283,Meir Teper,,
nm0006251,Graeme Revell,1955,
nm0100904,Richard Bowen,1951,2021
nm0000287,William Baldwin,1963,
nm0000340,Cindy Crawford,1966,
nm0000925,Steven Berkoff,1937,
nm0001520,Christopher McDonald,,
nm0802617,Andrew Sipes,,
nm0331514,Paula Gosling,1939,
nm0281969,Charlie Fletcher,,
nm0005428,Joel Silver,1952,
nm0006183,Mark Mancina,1957,
nm0317004,J. Kathleen Gibson,,
nm0357979,Josh Hamilton,1969,
nm0000655,Eric Stoltz,1961,
nm0332489,Samuel Gould,1973,
nm0446070,Catherine Kellner,1970,
nm0000876,Noah Baumbach,1969,
nm0075427,Bo Berkman,,
nm0145338,Joel Kastelberg,,
nm0551108,Phil Marshall,,
nm0077149,Steven Bernstein,,
nm0006166,Michel Legrand,1932,2019
nm0000901,Jean-Paul Belmondo,1933,2021
nm0099378,Michel Boujenah,1952,
nm0553402,Alessandra Martines,1963,
nm0500992,Salomé Lelouch,1983,
nm0500988,Claude Lelouch,1937,
nm0401076,Victor Hugo,1802,1885
nm0053334,Didier Barbelivien,1954,
nm0073368,Erik Berchot,,
nm0006162,Francis Lai,1932,2018
nm0475957,Jane Kurson,,
nm0000225,Christian Slater,1969,
nm0000524,Mary Stuart Masterson,1966,
nm0781899,Pamela Adlon,1966,
nm0000982,Josh Brolin,1968,
nm0325533,Michael Goldenberg,1965,
nm0591051,Allan Mindel,,
nm0789688,Denise Shaw,,
nm0006016,Michael Convertino,1952,
nm0453981,Adam Kimmel,1960,
nm0628056,David Newman,1954,
nm0001548,Rick Moranis,1953,
nm0000792,Tom Arnold,1959,
nm0680541,Julianne Phillips,1960,
nm0001406,Carol Kane,1952,
nm0591171,Steve Miner,1951,
nm0287811,Gary Foster,1961,
nm0723676,Lee Rich,1918,2012
nm0077686,Tom Berry,,
nm0000693,Peter Weller,1947,
nm0001163,Roy Dupuis,1963,
nm0748075,Jennifer Rubin,1962,
nm0490774,Andy Lauer,1965,
nm0240995,Christian Duguay,1957,
nm0001140,Philip K. Dick,1928,1982
nm0639321,Dan O'Bannon,1946,2009
nm0854185,Miguel Tejada-Flores,1951,
nm0061432,Franco Battista,,
nm0836759,Sibylle Stürmer,,
nm0630113,Nico,1938,1988
nm0042106,Tina Aumont,1946,2006
nm0099554,Christian Päffgen,1962,2023
nm0099555,Edith Boulogne,,
nm0644467,Susanne Ofteringer,1961,
nm0581578,Thomas Mertens,,
nm0685364,Annette Pisacane,,
nm0442324,Judith Kaufmann,1962,
nm0718945,Katarzyna Remin,1958,
nm0356423,Michael D. Haller,,1998
nm0000197,Jack Nicholson,1937,
nm0001556,David Morse,1953,
nm0001378,Anjelica Huston,1951,
nm0000705,Robin Wright,1966,
nm0357464,David Hamburger,,
nm0006217,Jack Nitzsche,1937,2000
nm0005936,Vilmos Zsigmond,1930,2016
nm0144203,Jay Cassidy,,
nm0000285,Alec Baldwin,1958,
nm0330687,Joseph Gordon-Levitt,1981,
nm0001254,James Gandolfini,1961,2013
nm0001270,Brian Gibson,1944,2004
nm0205923,George Dawes Green,,
nm0848217,Ted Tally,1952,
nm0184620,Rob Cowan,,
nm0005563,Irwin Winkler,1931,
nm4846516,Hamid Reza Ashtianpou,,
nm0595869,Aida Mohammadkhani,,
nm0435760,Mohsen Kafili,,
nm0649746,Fereshteh Sadre Orafaiy,,
nm0096941,Anna Borkowska,,
nm0070159,Jafar Panahi,1960,
nm0452102,Abbas Kiarostami,1940,2016
nm0787526,Parviz Shahbazi,,
nm0563317,Kurosh Mazkouri,,
nm0415272,Farzad Jadat,,
nm0000412,Andy Garcia,1956,
nm0000686,Christopher Walken,1943,
nm0000502,Christopher Lloyd,1938,
nm0001235,William Forsythe,1955,
nm0001219,Gary Fleder,1965,
nm0003298,Scott Rosenberg,1963,
nm0570462,Jonathan McHugh,,
nm0940531,Cary Woods,,
nm0823725,Willy Stassen,1948,
nm0002168,Willeke van Ammelrooy,1944,
nm0213912,Jan Decleir,1946,
nm0887675,Veerle van Overloop,,
nm0234579,Els Dottermans,1964,
nm0331296,Marleen Gorris,1948,
nm0180168,Gerard Cornelisse,,
nm0212355,Hans de Weers,,
nm0937770,Hans de Wolf,,
nm0782794,Ilona Sekacz,1948,
nm0170666,Lionel Cole,,
nm0293272,Al Freeman Jr.,1931,2012
nm0711118,Phylicia Rashad,1948,
nm0502442,Leon,,
nm0446780,Paula Kelly,1942,2020
nm0005347,Tim Reid,1944,
nm0851492,Clifton L. Taulbert,,
nm0178294,Paul W. Cooper,,
nm0071929,Michael Bennett,,
nm0049436,Alexander Balanescu,1954,
nm0753314,Mark Rylance,1960,
nm0000218,Kristin Scott Thomas,1960,
nm0000475,Patsy Kensit,1968,
nm0447305,Jeremy Kemp,1935,2019
nm0351993,Philip Haas,1954,
nm0125706,A.S. Byatt,1936,2023
nm0351911,Belinda Haas,,
nm0379053,Joyce Herlihy,1921,2014
nm0649715,Kerry Orent,,
nm0485897,Rocky Lang,,
nm0000313,Jeff Bridges,1949,
nm0328751,Caroline Goodall,1959,
nm0001698,John Savage,,
nm0937930,Scott Wolf,1968,
nm0000631,Ridley Scott,1937,
nm0317335,Charles Gieg Jr.,,
nm0840307,Felix Sutton,,
nm0733149,Todd Robinson,,
nm0689316,Mimi Polk Gitlin,,
nm0006108,Miles Goodman,1949,1996
nm0004517,Jason Alexander,1959,
nm0001159,Faye Dunaway,1941,
nm0005156,Eric Lloyd,1986,
nm0000391,Rupert Everett,1959,
nm0477129,Ken Kwapis,1957,
nm0394201,John Hopkins,,
nm0333949,Bruce Graham,,
nm0085542,Todd Black,1960,
nm0937208,Joe Wizan,1935,2011
nm0016584,Ross Albert,,
